# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.317552e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.318721e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.319890e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.321060e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.322229e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.323398e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.325152e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.327490e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.334505e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.344248e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.355940e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.371529e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.398810e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.437782e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.476755e-04 
