# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 2.843360e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 2.843781e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.844203e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.844625e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.845046e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.845468e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.846101e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.846944e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.849473e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.852987e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.857204e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.862826e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.872664e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.886718e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.900773e-04 
