# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 4.000000e+00 8.606721e-03 2.604032e+04 
7.500000e-02 2.500000e-02 2.300000e+01 2.151680e-02 2.735665e+04 
1.250000e-01 2.500000e-02 2.500000e+01 3.442688e-02 2.694076e+04 
1.750000e-01 2.500000e-02 2.500000e+01 6.455041e-02 2.712195e+04 
2.250000e-01 2.500000e-02 3.100000e+01 7.746049e-02 2.739640e+04 
2.750000e-01 2.500000e-02 3.100000e+01 7.315713e-02 2.798161e+04 
3.500000e-01 5.000000e-02 4.000000e+01 2.237747e-01 2.797645e+04 
4.500000e-01 5.000000e-02 3.200000e+01 2.797184e-01 2.816243e+04 
7.500000e-01 2.500000e-01 9.800000e+01 2.349635e+00 2.802660e+04 
1.166667e+00 1.666667e-01 5.200000e+01 2.418489e+00 2.729723e+04 
1.666667e+00 3.333333e-01 8.800000e+01 5.861177e+00 2.758613e+04 
2.333333e+00 3.333333e-01 8.000000e+01 6.059132e+00 2.619686e+04 
3.500000e+00 8.333333e-01 3.820000e+02 3.005467e+01 2.609177e+04 
5.166667e+00 8.333333e-01 6.060000e+02 4.777591e+01 2.536085e+04 
6.833333e+00 8.333333e-01 5.960000e+02 4.796095e+01 2.455223e+04 
