# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 1.000000e+00 8.606721e-03 2.605052e+04 
7.500000e-02 2.500000e-02 1.300000e+01 2.151680e-02 2.736858e+04 
1.250000e-01 2.500000e-02 1.200000e+01 3.442688e-02 2.695253e+04 
1.750000e-01 2.500000e-02 1.000000e+01 6.455041e-02 2.713403e+04 
2.250000e-01 2.500000e-02 1.200000e+01 7.746049e-02 2.740726e+04 
2.750000e-01 2.500000e-02 1.400000e+01 7.315713e-02 2.799184e+04 
3.500000e-01 5.000000e-02 1.400000e+01 2.237747e-01 2.798613e+04 
4.500000e-01 5.000000e-02 1.600000e+01 2.797184e-01 2.817090e+04 
7.500000e-01 2.500000e-01 5.300000e+01 2.349635e+00 2.803657e+04 
1.166667e+00 1.666667e-01 1.300000e+01 2.418489e+00 2.730748e+04 
1.666667e+00 3.333333e-01 4.200000e+01 5.861177e+00 2.759913e+04 
2.333333e+00 3.333333e-01 3.600000e+01 6.059132e+00 2.622461e+04 
3.500000e+00 8.333333e-01 1.430000e+02 3.005467e+01 2.611627e+04 
5.166667e+00 8.333333e-01 2.330000e+02 4.777591e+01 2.538281e+04 
6.833333e+00 8.333333e-01 2.180000e+02 4.796095e+01 2.458555e+04 
