# rrarcmin       zero       zero       zero  bgcountrate
#
2.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 3.749507e-04 
7.500000e-02 0.000000e+00 0.000000e+00 0.000000e+00 3.749509e-04 
1.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.749510e-04 
1.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.749512e-04 
2.250000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.749514e-04 
2.750000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.749515e-04 
3.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.749518e-04 
4.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.749521e-04 
7.500000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.749532e-04 
1.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.749546e-04 
1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.749562e-04 
2.333333e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.749585e-04 
3.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.749625e-04 
5.166667e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.749681e-04 
6.833333e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.749737e-04 
