# trarcmin    trwidth    tcounts      tarea        ttexp
#
2.500000e-02 2.500000e-02 4.000000e+00 8.606721e-03 2.599283e+04 
7.500000e-02 2.500000e-02 1.800000e+01 2.151680e-02 2.730926e+04 
1.250000e-01 2.500000e-02 2.200000e+01 3.442688e-02 2.689433e+04 
1.750000e-01 2.500000e-02 2.800000e+01 6.455041e-02 2.707559e+04 
2.250000e-01 2.500000e-02 3.000000e+01 7.746049e-02 2.734675e+04 
2.750000e-01 2.500000e-02 2.800000e+01 7.315713e-02 2.792914e+04 
3.500000e-01 5.000000e-02 3.900000e+01 2.237747e-01 2.792312e+04 
4.500000e-01 5.000000e-02 2.000000e+01 2.797184e-01 2.810622e+04 
7.500000e-01 2.500000e-01 8.800000e+01 2.349635e+00 2.797470e+04 
1.166667e+00 1.666667e-01 4.400000e+01 2.418489e+00 2.724820e+04 
1.666667e+00 3.333333e-01 7.000000e+01 5.861177e+00 2.753993e+04 
2.333333e+00 3.333333e-01 6.000000e+01 6.059132e+00 2.618709e+04 
3.500000e+00 8.333333e-01 2.820000e+02 3.005467e+01 2.607436e+04 
5.166667e+00 8.333333e-01 4.440000e+02 4.777591e+01 2.531499e+04 
6.833333e+00 8.333333e-01 4.520000e+02 4.796095e+01 2.451875e+04 
